key,code,brand,model,type,seats,doors,accelleration,image,tag
33906,33906,Buick,Regal,Station wagon,5,5,https://www.auto-data.net//images/f130/Buick-Regal-II-Station-Wagon.jpg,180
22869,22869,Jaguar,XF,Sedan,5,4,8.4 sec,https://www.auto-data.net//images/f3/file2073702.jpg,181
15235,15235,Citroen,BX,Hatchback,5,5,13.8 sec,https://www.auto-data.net//images/f110/Citroen-BX-I-Phase-II-1987_1.jpg,183
9877,9877,BMW,M3,Cabriolet,4,2,5.6 sec,https://www.auto-data.net//images/f122/BMW-M3-Convertible-E36_1.jpg,184
35541,35541,RAM,2500/3500,Pick-up,5-6,4,https://www.auto-data.net//images/f24/RAM-2500-3500-Crew-Cab-Long-box-II-DT.jpg,186
42629,42629,Subaru,Impreza,Station wagon,5,5,13.7 sec,https://www.auto-data.net//images/f67/Subaru-Impreza-II-Station-Wagon-facelift-2005_1.jpg,187
23919,23919,Suzuki,Swift,Hatchback,5,3-5,12.5 sec,https://www.auto-data.net//images/f37/Suzuki-Swift-II_1.jpg,188
49013,49013,Mercedes-Benz,CLE,Coupe,4,2,4.4 sec,https://www.auto-data.net//images/f78/Mercedes-Benz-CLE-Coupe_1.jpg,189
15305,15305,Citroen,C5,Sedan,5,4,9.8 sec,https://www.auto-data.net//images/f46/Citroen-C5-I-Phase-II-2004_1.jpg,191
16236,16236,Subaru,Leone,Station wagon,5,5,https://www.auto-data.net//images/f117/Subaru-Leone-III-Station-Wagon.jpg,192
28861,28861,Saturn,VUE,Off-road vehicle,5,5,10.2 sec,https://www.auto-data.net//images/f4/big5924.jpg,194
19850,19850,Ford,Tourneo Courier,MPV,5,5,14 sec,https://www.auto-data.net//images/f56/Ford-Tourneo-Courier-I_1.jpg,196
34144,34144,Abarth,595,Cabriolet,4,3,7.3 sec,https://www.auto-data.net//images/f34/Abarth-595C.jpg,198
42666,42666,Mercedes-Benz,Citan,Minivan,5,5,https://www.auto-data.net//images/f103/Mercedes-Benz-Citan-Tourer-W415_1.jpg,199
26926,26926,Seat,Leon,Station wagon,5,5,7.7 sec,https://www.auto-data.net//images/f2/file81336.jpg,200
42139,42139,Acura,NSX,Targa,2,2,https://www.auto-data.net//images/f125/Acura-NSX-I-facelift-2002_1.jpg,201
661,661,Nissan,Terrano,SUV,5,3/5,https://www.auto-data.net//images/f63/Nissan-Terrano-I-WD21.jpg,204
40066,40066,Ford,F-Series F-100/F-150,Pick-up,3,2,https://www.auto-data.net//images/f118/Ford-F-100-VI-Regular-Cab_1.jpg,206
50574,50574,Volvo,S80,Sedan,5,4,9.8 sec,https://www.auto-data.net//images/f117/Volvo-S80-facelift-2003_1.jpg,209
